id,name,date,distance,venue,city
14507,NCAA Division II Central Region Cross Country Championships,11/17/2018,10000.0,Missouri Southern,3950 East Newman Road
14509,NCAA Division II Midwest Region Cross Country Championships,11/17/2018,10000.0,Hayden Park,"Hillsdale, MI 49242"
14510,NCAA Division II South Region Cross Country Championships,11/17/2018,10000.0,Holloway Park,"Lakeland, FL 33801"
14511,NCAA Division II South Central Region Cross Country Championships,11/17/2018,10000.0,Washington Park,"Denver, CO"
14512,NCAA Division II Southeast Region Cross Country Championships,11/17/2018,10000.0,UNG Gainesville Campus,"Oakwood, GA 30503"
15008,Lewis Crossover,10/12/2019,8000.0,Lewis University Cross Country Course,1 University Pkwy
15014,Adelphi Panthers XC Invitational,09/06/2019,7996.0,Bethpage State Park,"Farmingdale, NY"
15037,NCAA Division II Cross Country Championships,12/01/2018,10000.0,Schenley Park,"Pittsburgh, PA 16057"
15041,2019 Middle Atlantic Conference Cross Country Championships,11/02/2019,8000.0,Hood College at Utica District Park,"Frederick, MD 21701"
15042,2019 Jim Sheehan Alumni XC Invitational,09/07/2019,8000.0,Doyle Conservation,464 Abbott Ave.
15043,Iona Br. Paddy Doyle Meet of Champions,09/20/2019,8000.0,Van Cortlandt Park,"Bronx, NY"
15045,Charleston Classic 2019,10/05/2019,8000.0,Jones Island County Park,"Charleston, SC"
15055,Highlander Tech XC Challenge,10/05/2019,8000.0,"Branch Brook Park, Newark","Newark, NJ 07102"
15058,East Texas Cross Country Shootout,09/07/2019,8000.0,Centennial Park,350 Hart Drive
15060,Due West Opener,09/06/2019,8000.0,Erskine College,20 North Main St
15061,Flying Fleet Invitational,09/28/2019,8000.0,Bobby Clarke Farm,"Due West, SC"
15062,ESF Mighty Oak XC Invite,10/19/2019,5000.0,ESF Tully Land,"Tully, NY"
15070,2019 MGA Invitational,09/07/2019,8000.0,Georgia Premier Cross Country Course,"Macon, GA 31206"
15077,Florida Tech Invitational,09/07/2019,8000.0,Wickham Park XC Course,"Melbourne, FL 32901"
15078,Linfield Harrier Classic,08/30/2019,6000.0,Joe Dancer Park,"McMinnville, OR 97128"
15081,UNA Cross Country Open,09/07/2019,8000.0,McFarland Park,
15082,Concordia Cross Country Classic,09/27/2019,8000.0,Concordia-Austin,"Austin, TX"
15083,16th Annual Cougar Classic,09/07/2019,8000.0,Smiths Station,1150 Lee Rd 298
