id,name
NY_college_m_Siena,Siena
NY_college_m_Stony_Brook,Stony Brook
NY_college_m_Columbia,Columbia
CT_college_m_Central_Connecticut,Central Connecticut
NY_college_m_Manhattan,Manhattan
NJ_college_m_Monmouth_NJ,Monmouth
NY_college_m_Fordham,Fordham
NJ_college_m_Rider,Rider
NJ_college_m_Seton_Hall,Seton Hall
PA_college_m_Saint_Francis_PA,Saint Francis University
NY_college_m_Marist,Marist
NY_college_m_Colgate,Colgate
NJ_college_m_New_Jersey_Institute_Technolog,NJIT
CT_college_m_Sacred_Heart,Sacred Heart
OH_college_m_John_Carroll,John Carroll
MA_college_m_Williams,Williams
CA_college_m_Claremont_Mudd_Scripps,Claremont-Mudd-Scripps
OH_college_m_Wilmington_OH,Wilmington (Ohio)
WI_college_m_Wis_Whitewater,Wis.-Whitewater
ME_college_m_Colby,Colby
IA_college_m_Wartburg,Wartburg
IL_college_m_U_of_Chicago,U. of Chicago
CA_college_m_Pomona_Pitzer,Pomona-Pitzer
WI_college_m_Wis_La_Crosse,Wis.-La Crosse
MA_college_m_MIT,MIT
IL_college_m_North_Central_IL,North Central (Ill.)
PA_college_m_Carnegie_Mellon,Carnegie Mellon
OH_college_m_Otterbein,Otterbein
CA_college_m_Whittier,Whittier
MN_college_m_Concordia_Moorhead,Concordia-Moorhead
OH_college_m_Franciscan-OH,Franciscan (Ohio)
PA_college_m_Dickinson_College,Dickinson
WA_college_m_Puget_Sound,Puget Sound
MA_college_m_Suffolk,Suffolk
CA_college_m_Redlands,Redlands
NJ_college_m_Ramapo,Ramapo
NY_college_m_RPI,RPI
NY_college_m_Geneseo_St,SUNY Geneseo
NY_college_m_Cortland_St,Cortland St.
TN_college_m_Rhodes,Rhodes
VT_college_m_Middlebury,Middlebury
MO_college_m_Washington_U,Washington U.
OH_college_m_Case_Western,Case Western
WI_college_m_Wis_Eau_Claire,Wis.-Eau Claire
MA_college_m_Amherst,Amherst
MN_college_m_St_Olaf,St. Olaf
MN_college_m_St_Johns_MN,St. John's (Minn.)
VA_college_m_Lynchburg,Lynchburg
PA_college_m_Swarthmore,Swarthmore
MD_college_m_Johns_Hopkins,Johns Hopkins
ME_college_m_Bates,Bates
MA_college_m_Tufts,Tufts
VA_college_m_Southern_Virginia,Southern Virginia
CO_college_m_Colorado_College,Colorado College
OR_college_m_George_Fox,George Fox
WI_college_m_Wis_Oshkosh,Wis.-Oshkosh
IA_college_m_Central_College,Central College
NY_college_m_Vassar,Vassar
OH_college_m_Denison,Denison
CT_college_m_Conn_College,Connecticut College
DC_college_m_Catholic,Catholic
IL_college_m_Augustana_IL,Augustana (Ill.)
MN_college_m_Carleton,Carleton
NY_college_m_Brockport_St,Brockport St.
OH_college_m_Mount_Union,Mount Union
MI_college_m_Calvin,Calvin
CT_college_m_Trinity_CT,Trinity (Conn.)
MN_college_m_Gustavus_Adolphus,Gustavus Adolphus
IA_college_m_Simpson,Simpson (Iowa)
MN_college_m_St_Scholastica,St. Scholastica
KY_college_m_Berea,Berea
OR_college_m_Pacific_OR,Pacific (Ore.)
GA_college_m_Emory,Emory
IA_college_m_Loras,Loras
PA_college_m_Haverford,Haverford
GA_college_m_Berry,Berry
PA_college_m_Messiah,Messiah
NC_college_m_Methodist,Methodist
IA_college_m_Luther,Luther
MA_college_m_WPI,WPI
ME_college_m_Bowdoin,Bowdoin
MI_college_m_Hope,Hope
NY_college_m_St_Lawrence,St. Lawrence
MA_college_m_Babson,Babson
NJ_college_m_Rowan,Rowan
PA_college_m_Elizabethtown,Elizabethtown
OR_college_m_Lewis__Clark,Lewis & Clark
NY_college_m_Delhi,SUNY Delhi
NY_college_m_Rochester,Rochester
NY_college_m_NYU,NYU
PA_college_m_Moravian,Moravian
NY_college_m_Ithaca,Ithaca
IA_college_m_Dubuque,Dubuque
NH_college_m_Plymouth_State,Plymouth State
NJ_college_m_TCNJ,TCNJ
ME_college_m_Husson,Husson
MD_college_m_Salisbury,Salisbury
MA_college_m_Wheaton_MA,Wheaton (Mass.)
WI_college_m_Wis_Stout,Wis.-Stout
MI_college_m_Grand_Valley_St,Grand Valley St.
MI_college_m_Saginaw_Valley,Saginaw Valley
CO_college_m_Colorado_Mines,Colorado Mines
CO_college_m_Adams_State,Adams State
MO_college_m_Missouri_Southern,Missouri Southern
NC_college_m_UNC_Pembroke,UNC Pembroke
NC_college_m_Queens_NC,Queens (N.C.)
MA_college_m_American_Intl,American Int'l
CO_college_m_UC_Colo_Spgs,UC-Colo. Spgs.
FL_college_m_Saint_Leo,Saint Leo
IN_college_m_Southern_Indiana,Southern Indiana
CO_college_m_Colo_Christian,Colo. Christian
SD_college_m_Augustana_SD,Augustana (S.D.)
WV_college_m_Charleston,Charleston (W.V.)
CA_college_m_Chico_State,Chico State
MI_college_m_Wayne_St_MI,Wayne State (Mich.)
AK_college_m_Alaska_Anchorage,Alaska Anchorage
CO_college_m_Western_Colorado,Western Colorado
NM_college_m_New_Mexico_Highlands,New Mexico Highlands
WV_college_m_Concord,Concord
CA_college_m_Fresno_Pacific,Fresno Pacific
TX_college_m_West_Texas_AM,West Texas A&M
TN_college_m_Lee,Lee (Tenn.)
OH_college_m_Walsh,Walsh
NC_college_m_Wingate,Wingate
MN_college_m_Winona_State,Winona State
AL_college_m_Alabama_Huntsville,Alabama-Huntsville
KS_college_m_Emporia_St,Emporia St.
IL_college_m_Lewis,Lewis
PA_college_m_Edinboro,Edinboro
CT_college_m_So_Conn_St,So. Conn. St.
KS_college_m_Fort_Hays_St,Fort Hays St.
FL_college_m_Embry_Riddle,Embry-Riddle
OH_college_m_Cedarville,Cedarville
MO_college_m_Lindenwood,Lindenwood
KS_college_m_Pittsburg_St,Pittsburg St.
MI_college_m_Michigan_Tech,Michigan Tech
MI_college_m_Lake_Superior_State,Lake Superior State
NE_college_m_Nebraska_Kearney,Nebraska-Kearney
MS_college_m_Mississippi_College,Mississippi College
