id,name
1538,AARTFC
62,ACC
61,America East
1536,American Collegiate
1477,American Midwest
1400,American Rivers Conference
1395,American Southwest
1565,Appalachian AC
60,Atlantic 10
1566,Atlantic East
56,Atlantic Sun
59,Big 12
1463,BIG EAST
58,Big East (Old)
63,Big Sky
64,Big South
65,Big Ten
66,Big West
1561,CACC
1427,Cal/Nevada
1470,Cascade Conference
1394,CCAA
1398,CCIW
1397,Centennial Conference
1605,Chicagoland Collegiate
1382,CIAA
1396,Coast-to-Coast
68,Colonial (CAA)
1383,Conference Carolinas
67,Conference USA
1539,Crossroads League
1493,CSAC
1430,CTC
1367,CUNYAC
1376,Dakota Athletic Conference
1614,DI Great Lakes Region
1615,DI Mid-Atlantic Region
1616,DI Midwest Region
1617,DI Mountain Region
1618,DI Northeast Region
1620,DI South Central Region
1619,DI South Region
1621,DI Southeast Region
1622,DI West Region
1528,DII Atlantic Region
1529,DII Central Region
1530,DII East Region
1531,DII Midwest Region
1532,DII South Central Region
1533,DII South Region
1534,DII Southeast Region
1535,DII West Region
1435,DIII All-Ohio
1612,DIII East Region
1519,DIII Great Lakes Region
1610,DIII Metro Region
1520,DIII Mid-Atlantic Region
1613,DIII Mideast Region
1521,DIII Midwest Region
255,DIII New England
1517,DIII Niagara Region
1518,DIII North Region
1522,DIII South Region
1523,DIII West Region
253,ECAC DIII
1459,ECC
1399,Empire 8 
1384,GLIAC
1385,GLVC
1386,GNAC
1439,Golden State AC
1510,Great American
1461,Great Midwest
1607,Great Northeast AC
1434,Great Plains AC
1380,Great West
1593,Gulf Coast Athletic Conference
1475,Gulf South
1373,HCAC
1423,Heart of America AC
1464,Heartland
54,Heptagonals
69,Horizon
1433,IC4A/ECAC
55,Ivy League
1440,KCAC
1401,Landmark Conference
1402,Liberty League
1403,Little East
1392,Lone Star
1404,MASCAC
1422,Mason-Dixon
79,Metro Atlantic
256,Mets
1387,MIAA
1405,Michigan Intercollegiate AA
70,Mid-American
71,Mid-Eastern
1474,Mid-South Conference
1406,Middle Atlantic Conferences
1424,Midwest Collegiate Conference
1407,Midwest Conference
1408,Minnesota Intercollegiate AC
83,Missouri Valley
1460,Mountain East
57,Mountain West
1377,MPSF
1412,NACC
1425,NCAA DI East Region (OTF)
1426,NCAA DI West Region (OTF)
49,NCAA Division I
50,NCAA Division II
51,NCAA Division III
1456,NCCAA
73,NEC
254,NEICAAA
16,NESCAC
1516,New England Alliance
1409,NEWMAC
1410,NJAC
33,NJCAA
1562,North Atlantic Conference
1411,North Coast AC
1476,North Star
1388,Northeast-10
1389,Northern Sun
1413,Northwest Conference
34,NWAC
1421,NYSCTC
1414,Ohio Athletic Conference
94,Ohio Valley
1415,Old Dominion AC
74,Pac-12
1453,PacWest
78,Patriot League
1458,Peach Belt
1416,Presidents AC
252,PSAC
1567,River States Conference
1390,Rocky Mountain AC
1356,SCAC
1436,SCIAC
72,SEC
1393,SIAC
1438,SLIAC
1609,Sooner AC
1465,South Atlantic
1454,Southern Athletic Association
80,Southern Conference
1473,Southern States AC
47,Southland Conference
76,Sun Belt
1417,SUNYAC
75,SWAC
1462,The American
98,The Summit League
1437,The Sun Conference
1418,UAA
1419,UMAC
1591,USA South
1455,USCAA
77,WAC
81,WCC
1446,WHAC
1420,WIAC
1391,WVIAC
23,Bay Valley
24,Central Valley
25,Coast
27,Foothill
26,Golden Valley
1137,NJCAA Division I
1138,NJCAA Division III
21,NorCal
28,Orange Empire
29,Pacific Coast
22,SoCal
30,South Coast
31,Western State
