meet_hnd,venue_state,name,date
4080,PA,Battle of the First Kick-Off,2012-08-30
4012,KY,Asbury University Chick-fil-A Invitational,2012-08-30
4174,AK,Alaska Nanooks Interior Invitational Long Course - Women,2012-08-30
4173,AK,Alaska Nanooks Interior Invitational Long Course - Men,2012-08-30
4498,VA,CNU XC Opener,2012-08-31
3808,TX,Baylor Twilight Classic,2012-08-31
4052,TN,Belmont Opener 2012,2012-08-31
4191,SD,Augie Twilight,2012-08-31
3771,SC,Gamecock Invitational,2012-08-31
4075,PA,Dolan Duals,2012-08-31
4041,PA,Bison Open,2012-08-31
4290,NJ,Stockton Alumni Meet,2012-08-31
3938,ND,Bison Inv. ,2012-08-31
4291,NC,Western Carolina University Invitational,2012-08-31
4031,NC,Mount Olive College Invitational,2012-08-31
4096,MI,Michigan Tech Collegiate Opener,2012-08-31
3901,MD,Baltimore Metro Cross Country Meet,2012-08-31
4026,IN,Stegemoller Classic,2012-08-31
4591,IL,Illini Challenge,2012-08-31
4365,IA,Spartan Igniter,2012-08-31
3810,GA,Belmont Opener XC 2012,2012-08-31
3864,FL,University of Tampa Early Bird XC,2012-08-31
4768,FL,FGCU Invitational,2012-08-31
3885,CA,Ventura Invitational,2012-08-31
4093,CA,UCSD Season Opener,2012-08-31
4038,WA,Puget Sound Invitational,2012-09-01
3900,WA,Clash of Inland Northwest,2012-09-01
4039,PA,Galen Piper Cross Country Challenge,2012-09-01
4076,PA,41st Annual Marty Uher/Cal U Invitational,2012-09-01
4033,PA,10th Annual SHU Griffin Classic,2012-09-01
3932,OR,GFU/Pacific Dual,2012-09-01
3933,OH,Bill Sudeck XC Classic - 12th Annual,2012-09-01
4092,NY,SUNYIT Wildcat Invitational,2012-09-01
3788,NY,Oneonta State Early Bird Invitational,2012-09-01
4035,NY,Lake Placid Shoot Out,2012-09-01
4029,NJ,TCNJ/Rider/St. Joes,2012-09-01
4028,MN,Gustavus Invitational,2012-09-01
4200,MI,Hope College Vanderbilt Invitational,2012-09-01
4036,IL,Rockford College Season Opener,2012-09-01
4091,HI,Hawaii Pacific Invitational,2012-09-01
4082,GA,Young Harris Invitational,2012-09-01
4355,GA,Sewanee/Berry Cross Country Invitational,2012-09-01
3776,GA,Georgia Cross Country Invitational,2012-09-01
4032,GA,Darton Invitational,2012-09-01
4104,CO,CU Time Trial 2012,2012-09-01
4030,AL,Troy Trojan Invitational,2012-09-01
3742,AL,2012 Alabama XC Opener,2012-09-01
4180,AK,Alaska Nanooks Interior Invitational Short Course - Women   ,2012-09-01
4181,AK,Alaska Nanooks Interior Invitational Short Course - Men,2012-09-01
4483,CA,San Francisco Invitational,2012-09-02
4351,NC,Wingate University Bulldog Stampede,2012-09-06
4152,WA,CWU Invitational,2012-09-07
4177,PA,Little Three Championship,2012-09-07
4105,OH,Queen City Invitational,2012-09-07
4159,NY,Army vs. Cornell vs. Binghamton,2012-09-07
4110,MO,UCMO Mule XC Invite,2012-09-07
4111,IL,NIU Open,2012-09-07
3690,FL,South Florida Invitational,2012-09-07
3705,AL,Auburn Cross Country Invitational,2012-09-07
3881,TX,Bill Libby/McMurry University Cross Country Invitational,2012-09-08
4113,RI,Roger Williams University Invitational,2012-09-08
4149,RI,Nassaney Invitational,2012-09-08
4114,PA,Harry Groves Spiked Shoe Invitational,2012-09-08
4361,OK,UCO Land Run XC Inv,2012-09-08
4176,OK,ECU Tiger Chase,2012-09-08
4115,OH,Ohio Wesleyan XC Invitational,2012-09-08
3713,NY,Oswego State Invitational,2012-09-08
4109,NY,Hamilton College Short Course Invitational,2012-09-08
4130,NY,Fordham University Cross Country Invitational,2012-09-08
6223,NY,2012 Fordham Fiasco XC Meet,2012-09-08
4118,NH,Shaklette Invitational,2012-09-08
3944,NH,2012 Dartmouth Cross Country Invitational,2012-09-08
4142,NE,Eagles & Hardrockers Duel,2012-09-08
4366,NC,Lenoir-Rhyne Invitational CC Meet,2012-09-08
4492,MO,Maryville Classic,2012-09-08
3865,MI,Calvin College Knight Invite,2012-09-08
4171,MD,2012 Green Terror Challenge,2012-09-08
4112,MA,UMass Amherst # 1 Cross Country Meet,2012-09-08
4143,MA,Smith Co-Ed Invitational,2012-09-08
4121,KY,Centre-Kentucky State Dual Meet,2012-09-08
4120,KY,Centre Invitational,2012-09-08
4116,KS,PSU Cross Country Alumni Race,2012-09-08
3896,ID,Roger Curran Invitational,2012-09-08
4123,IA,All-American Invitational,2012-09-08
4160,HI,University of Hawaii Big Wave Invitational,2012-09-08
4108,GA,GSU Invitational,2012-09-08
4134,GA, Albany State Cross Country Invitational,2012-09-08
3902,DE,12th Annual Wilmington University Cross Country Invitational,2012-09-08
3851,CT,Trinity College Bantam XC Invitational,2012-09-08
3779,CO,UCCS Rust-Buster Open,2012-09-08
4117,CO,UCCS Rust-Buster Invite,2012-09-08
4183,CO,19th Annual PUMA/Joe I. Vigil Open,2012-09-08
3294,CA,Humboldt Cross Country Invitational,2012-09-08
3746,CA,Fresno Invitational,2012-09-08
4189,NY,Baruch College Invitational,2012-09-09
4677,PA,Cheyney Mid Week,2012-09-12
4166,NY,North Country 5 Invitational,2012-09-12
3774,VA,2012 Virginia Tech Invitational,2012-09-14
4202,TX,Texas Tech Open,2012-09-14
4190,SD,SDSU Classic,2012-09-14
4178,SD,2012 Yellowjacket Open XC Meet,2012-09-14
4596,SC,Francis Marion XC Invitational,2012-09-14
4187,PA,Mack Cooper Classic,2012-09-14
3977,NH,2012 UNH Pre-Conference XC Invitational,2012-09-14
4188,ND,Wiley Wilson Memorial,2012-09-14
3710,NC,adidas XC Challenge,2012-09-14
4067,LA,2012 Ragin Cajuns Cross Country Invite(College/Open),2012-09-14
4220,IN,National Catholic Meet,2012-09-14
4218,IL,SIUE XC Challenge,2012-09-14
4289,IL,Illinois Intercolligate Championships,2012-09-14
4362,CT,Harvard vs. Yale,2012-09-14
3853,AZ,2012 DAVE MURRAY XC INVITATIONAL,2012-09-14
