id,name,gender,state
TX_college_f_Abilene_Christian,Abilene Christian,F,TX
TX_college_m_Abilene_Christian,Abilene Christian,M,TX
CA_college_f_Academy_of_Art,Academy of Art,F,CA
CA_college_m_Academy_of_Art,Academy of Art,M,CA
CO_college_f_Adams_State,Adams State,F,CO
CO_college_m_Adams_State,Adams State,M,CO
NY_college_f_Adelphi,Adelphi,F,NY
NY_college_m_Adelphi,Adelphi,M,NY
MI_college_f_Adrian,Adrian,F,MI
MI_college_m_Adrian,Adrian,M,MI
CO_college_f_Air_Force,Air Force,F,CO
CO_college_m_Air_Force,Air Force,M,CO
OH_college_f_Akron,Akron,F,OH
OH_college_m_Akron,Akron,M,OH
AL_college_f_Alabama,Alabama,F,AL
AL_college_m_Alabama,Alabama,M,AL
AL_college_f_Alabama_AM,Alabama A&M,F,AL
AL_college_m_Alabama_AM,Alabama A&M,M,AL
AL_college_f_Alabama_State,Alabama State,F,AL
AL_college_m_Alabama_State,Alabama State,M,AL
AL_college_f_Alabama_Huntsville,Alabama-Huntsville,F,AL
AL_college_m_Alabama_Huntsville,Alabama-Huntsville,M,AL
AK_college_f_Alaska_Anchorage,Alaska Anchorage,F,AK
AK_college_m_Alaska_Anchorage,Alaska Anchorage,M,AK
AK_college_f_Alaska_Fairbanks,Alaska Fairbanks,F,AK
AK_college_m_Alaska_Fairbanks,Alaska Fairbanks,M,AK
NY_college_f_Albany,Albany,F,NY
NY_college_m_Albany,Albany,M,NY
NY_college_f_Albany_College_of_Pharmacy,Albany College of Pharmacy,F,NY
NY_college_m_Albany_College_of_Pharmacy,Albany College of Pharmacy,M,NY
GA_college_f_Albany_State,Albany State,F,GA
GA_college_m_Albany_State,Albany State,M,GA
MI_college_f_Albion,Albion,F,MI
MI_college_m_Albion,Albion,M,MI
PA_college_f_Albright,Albright,F,PA
PA_college_m_Albright,Albright,M,PA
MS_college_f_Alcorn_State,Alcorn State,F,MS
MS_college_m_Alcorn_State,Alcorn State,M,MS
WV_college_f_Alderson_Broaddus,Alderson Broaddus,F,WV
WV_college_m_Alderson_Broaddus,Alderson Broaddus,M,WV
NY_college_f_Alfred,Alfred,F,NY
NY_college_m_Alfred,Alfred,M,NY
NY_college_f_Alfred_State,Alfred State,F,NY
NY_college_m_Alfred_State,Alfred State,M,NY
KY_college_f_Alice_Lloyd,Alice Lloyd,F,KY
KY_college_m_Alice_Lloyd,Alice Lloyd,M,KY
MD_jcollege_f_Allegany_MD,Allegany College of MD,F,MD
MD_jcollege_m_Allegany_MD,Allegany College of MD,M,MD
PA_college_f_Allegheny,Allegheny,F,PA
PA_college_m_Allegheny,Allegheny,M,PA
SC_college_f_Allen,Allen,F,SC
SC_college_m_Allen,Allen,M,SC
KS_jcollege_f_Allen_County_CC,Allen CC,F,KS
KS_jcollege_m_Allen_County_CC,Allen CC,M,KS
CA_college_f_Alliant_International,Alliant International,F,CA
CA_college_m_Alliant_International,Alliant International,M,CA
MI_college_f_Alma,Alma,F,MI
MI_college_m_Alma,Alma,M,MI
PA_college_f_Alvernia,Alvernia,F,PA
PA_college_m_Alvernia,Alvernia,M,PA
WI_college_f_Alverno,Alverno,F,WI
WI_college_m_Alverno,Alverno,M,WI
NH_hs_f_Alvirne,Alvirne,F,NH
NH_hs_m_Alvirne,Alvirne,M,NH
DC_college_f_American,American,F,DC
DC_college_m_American,American,M,DC
MA_college_f_American_Intl,American Int'l,F,MA
MA_college_m_American_Intl,American Int'l,M,MA
MA_college_f_Amherst,Amherst,F,MA
MA_college_m_Amherst,Amherst,M,MA
IN_jcollege_f_Ancilla,Ancilla College,F,IN
IN_jcollege_m_Ancilla,Ancilla College,M,IN
IN_college_f_Anderson_IN,Anderson (Ind.),F,IN
IN_college_m_Anderson_IN,Anderson (Ind.),M,IN
SC_college_f_Anderson_SC,Anderson (S.C.),F,SC
SC_college_m_Anderson_SC,Anderson (S.C.),M,SC
TX_college_f_Angelo_State,Angelo State,F,TX
TX_college_m_Angelo_State,Angelo State,M,TX
MA_college_f_Anna_Maria,Anna Maria,F,MA
MA_college_m_Anna_Maria,Anna Maria,M,MA
CA_college_f_University_of_Antelope_Valley,Antelope Valley,F,CA
CA_college_m_University_of_Antelope_Valley,Antelope Valley,M,CA
NC_college_f_Appalachian_State,Appalachian State,F,NC
NC_college_m_Appalachian_State,Appalachian State,M,NC
MI_college_f_Aquinas,Aquinas,F,MI
MI_college_m_Aquinas,Aquinas,M,MI
PA_college_f_Arcadia,Arcadia,F,PA
PA_college_m_Arcadia,Arcadia,M,PA
AZ_college_f_Arizona,Arizona,F,AZ
AZ_college_m_Arizona,Arizona,M,AZ
AZ_college_f_Arizona_Christian,Arizona Christian,F,AZ
AZ_college_m_Arizona_Christian,Arizona Christian,M,AZ
AZ_college_f_Arizona_State,Arizona State,F,AZ
AZ_college_m_Arizona_State,Arizona State,M,AZ
AR_college_f_Arkansas,Arkansas,F,AR
AR_college_m_Arkansas,Arkansas,M,AR
AR_jcollege_f_Arkansas_Baptist,Arkansas Baptist,F,AR
AR_jcollege_m_Arkansas_Baptist,Arkansas Baptist,M,AR
AR_college_f_Arkansas_State,Arkansas State,F,AR
AR_college_m_Arkansas_State,Arkansas State,M,AR
AR_college_f_Arkansas_Tech,Arkansas Tech,F,AR
AR_college_m_Arkansas_Tech,Arkansas Tech,M,AR
AR_college_f_Arkansas_Monticello,Arkansas-Monticello,F,AR
AR_college_m_Arkansas_Monticello,Arkansas-Monticello,M,AR
AR_college_f_Arkansas_Pine_Bluff,Arkansas-Pine Bluff,F,AR
AR_college_m_Arkansas_Pine_Bluff,Arkansas-Pine Bluff,M,AR
TX_college_m_ArlingtonBaptist,Arlington Baptist University,M,TX
GA_college_f_Armstrong_Atlantic,Armstrong State,F,GA
GA_college_m_Armstrong_Atlantic,Armstrong State,M,GA
NY_college_f_Army_West_Point,Army West Point,F,NY
NY_college_m_Army_West_Point,Army West Point,M,NY
FL_jcollege_f_ASA_Miami,ASA Miami,F,FL
FL_jcollege_m_ASA_Miami,ASA Miami,M,FL
NY_jcollege_f_ASA_College,ASA New York,F,NY
NY_jcollege_m_ASA_College,ASA New York,M,NY
KY_college_f_Asbury_College,Asbury,F,KY
KY_college_m_Asbury_College,Asbury,M,KY
IA_college_f_Ashford,Ashford,F,IA
IA_college_m_Ashford,Ashford,M,IA
OH_college_f_Ashland,Ashland,F,OH
OH_college_m_Ashland,Ashland,M,OH
MA_college_f_Assumption,Assumption,F,MA
MA_college_m_Assumption,Assumption,M,MA
AL_college_f_Auburn,Auburn,F,AL
AL_college_m_Auburn,Auburn,M,AL
AL_college_f_AuburnMontgomery,Auburn Montgomery,F,AL
AL_college_m_AuburnMontgomery,Auburn Montgomery,M,AL
MN_college_f_Augsburg,Augsburg,F,MN
MN_college_m_Augsburg,Augsburg,M,MN
GA_college_f_Augusta,Augusta,F,GA
GA_college_m_Augusta,Augusta,M,GA
IL_college_f_Augustana_IL,Augustana (Ill.),F,IL
IL_college_m_Augustana_IL,Augustana (Ill.),M,IL
SD_college_f_Augustana_SD,Augustana (S.D.),F,SD
SD_college_m_Augustana_SD,Augustana (S.D.),M,SD
IL_college_f_Aurora,Aurora,F,IL
IL_college_m_Aurora,Aurora,M,IL
TX_college_f_Austin_College,Austin College,F,TX
TX_college_m_Austin_College,Austin College,M,TX
TN_college_f_Austin_Peay,Austin Peay,F,TN
FL_college_f_Ave_Maria,Ave Maria,F,FL
FL_college_m_Ave_Maria,Ave Maria,M,FL
VA_college_f_Averett,Averett,F,VA
VA_college_m_Averett,Averett,M,VA
MO_college_f_Avila,Avila,F,MO
MO_college_m_Avila,Avila,M,MO
CA_college_f_Azusa_Pacific,Azusa Pacific,F,CA
CA_college_m_Azusa_Pacific,Azusa Pacific,M,CA
MA_college_f_Babson,Babson,F,MA
MA_college_m_Babson,Babson,M,MA
OK_college_f_Bacone,Bacone,F,OK
OK_college_m_Bacone,Bacone,M,OK
KS_college_f_Baker,Baker,F,KS
KS_college_m_Baker,Baker,M,KS
OH_college_f_Baldwin_Wallace,Baldwin Wallace,F,OH
OH_college_m_Baldwin_Wallace,Baldwin Wallace,M,OH
IN_college_f_Ball_State,Ball State,F,IN
IN_college_m_Ball_State,Ball State,M,IN
MD_jcollege_f_Baltimore_City,Baltimore City,F,MD
MD_jcollege_m_Baltimore_City,Baltimore City,M,MD
NC_college_f_Barber_Scotia,Barber-Scotia,F,NC
NC_college_m_Barber_Scotia,Barber-Scotia,M,NC
KS_college_f_Barclay,Barclay,F,KS
KS_college_m_Barclay,Barclay,M,KS
NY_college_f_Bard,Bard,F,NY
NY_college_m_Bard,Bard,M,NY
NC_college_f_Barton,Barton,F,NC
NC_college_m_Barton,Barton,M,NC
KS_jcollege_f_Barton_County_CC,Barton County CC,F,KS
KS_jcollege_m_Barton_County_CC,Barton County CC,M,KS
NY_college_f_Baruch,Baruch,F,NY
NY_college_m_Baruch,Baruch,M,NY
ME_college_f_Bates,Bates,F,ME
ME_college_m_Bates,Bates,M,ME
MI_jcollege_f_Bay_College,Bay College,F,MI
MI_jcollege_m_Bay_College,Bay College,M,MI
MA_college_f_Bay_Path,Bay Path,F,MA
MA_college_m_Bay_Path,Bay Path,M,MA
TX_college_f_Baylor,Baylor,F,TX
TX_college_m_Baylor,Baylor,M,TX
NH_hs_f_Bedford,Bedford,F,NH
NH_hs_m_Bedford,Bedford,M,NH
MS_college_f_Belhaven,Belhaven,F,MS
MS_college_m_Belhaven,Belhaven,M,MS
KY_college_f_Bellarmine,Bellarmine,F,KY
KY_college_m_Bellarmine,Bellarmine,M,KY
NE_college_f_Bellevue_University,Bellevue,F,NE
NE_college_m_Bellevue_University,Bellevue,M,NE
NH_hs_f_Belmont,Belmont,F,NH
TN_college_f_Belmont,Belmont,F,TN
NH_hs_m_Belmont,Belmont,M,NH
TN_college_m_Belmont,Belmont,M,TN
NC_college_f_Belmont_Abbey,Belmont Abbey,F,NC
NC_college_m_Belmont_Abbey,Belmont Abbey,M,NC
WI_college_f_Beloit,Beloit,F,WI
WI_college_m_Beloit,Beloit,M,WI
MN_college_f_Bemidji_St,Bemidji State,F,MN
MN_college_m_Bemidji_St,Bemidji State,M,MN
SC_college_f_Benedict,Benedict,F,SC
SC_college_m_Benedict,Benedict,M,SC
IL_college_f_Benedictine_IL,Benedictine (Ill.),F,IL
IL_college_m_Benedictine_IL,Benedictine (Ill.),M,IL
KS_college_f_Benedictine_KS,Benedictine (Kan.),F,KS
KS_college_m_Benedictine_KS,Benedictine (Kan.),M,KS
AZ_college_f_Benedictine_University_Mesa,Benedictine University Mesa,F,AZ
AZ_college_m_Benedictine_University_Mesa,Benedictine University Mesa,M,AZ
IL_college_f_Benedictine-Springfield,Benedictine-Springfield,F,IL
IL_college_m_Benedictine-Springfield,Benedictine-Springfield,M,IL
MA_college_f_Bentley,Bentley,F,MA
MA_college_m_Bentley,Bentley,M,MA
KY_college_f_Berea,Berea,F,KY
KY_college_m_Berea,Berea,M,KY
NJ_jcollege_f_Bergen_CC,Bergen CC,F,NJ
NJ_jcollege_m_Bergen_CC,Bergen CC,M,NJ
NH_hs_f_Berlin,Berlin,F,NH
NH_hs_m_Berlin,Berlin,M,NH
GA_college_f_Berry,Berry,F,GA
GA_college_m_Berry,Berry,M,GA
CA_college_f_Bethany_CA,Bethany (Cal.),F,CA
CA_college_m_Bethany_CA,Bethany (Cal.),M,CA
KS_college_f_Bethany_KS,Bethany (Kan.),F,KS
KS_college_m_Bethany_KS,Bethany (Kan.),M,KS
WV_college_f_Bethany_WV,Bethany (W.V.),F,WV
WV_college_m_Bethany_WV,Bethany (W.V.),M,WV
MN_college_f_Bethany_Lutheran,Bethany Lutheran,F,MN
MN_college_m_Bethany_Lutheran,Bethany Lutheran,M,MN
IN_college_f_Bethel_IN,Bethel (Ind.),F,IN
IN_college_m_Bethel_IN,Bethel (Ind.),M,IN
KS_college_f_Bethel_KS,Bethel (Kan.),F,KS
KS_college_m_Bethel_KS,Bethel (Kan.),M,KS
MN_college_f_Bethel_MN,Bethel (Minn.),F,MN
MN_college_m_Bethel_MN,Bethel (Minn.),M,MN
TN_college_f_Bethel_TN,Bethel (Tenn.),F,TN
TN_college_m_Bethel_TN,Bethel (Tenn.),M,TN
CA_college_f_Bethesda_University_Anaheim,Bethesda (Anaheim),F,CA
CA_college_m_Bethesda_University_Anaheim,Bethesda (Anaheim),M,CA
FL_college_f_Bethune_Cookman,Bethune-Cookman,F,FL
FL_college_m_Bethune_Cookman,Bethune-Cookman,M,FL
AL_jcollege_f_Bevill_State,Bevill State,F,AL
AL_jcollege_m_Bevill_State,Bevill State,M,AL
NY_college_f_Binghamton,Binghamton,F,NY
NY_college_m_Binghamton,Binghamton,M,NY
CA_college_f_Biola,Biola,F,CA
CA_college_m_Biola,Biola,M,CA
AL_college_f_Birmingham_Southern,Birmingham-Southern,F,AL
AL_college_m_Birmingham_Southern,Birmingham-Southern,M,AL
NH_hs_f_Bishop_Brady,Bishop Brady,F,NH
NH_hs_m_Bishop_Brady,Bishop Brady,M,NH
NH_hs_f_Bishop_Guertin,Bishop Guertin,F,NH
NH_hs_m_Bishop_Guertin,Bishop Guertin,M,NH
ND_jcollege_f_Bismarck_State_College,Bismarck State,F,ND
ND_jcollege_m_Bismarck_State_College,Bismarck State,M,ND
IL_jcollege_f_Black_Hawk_East,Black Hawk East,F,IL
IL_jcollege_m_Black_Hawk_East,Black Hawk East,M,IL
SD_college_f_Black_Hills_St,Black Hills St.,F,SD
SD_college_m_Black_Hills_St,Black Hills St.,M,SD
IL_college_f_Blackburn,Blackburn,F,IL
IL_college_m_Blackburn,Blackburn,M,IL
NJ_college_f_Bloomfield,Bloomfield,F,NJ
NJ_college_m_Bloomfield,Bloomfield,M,NJ
PA_college_f_Bloomsburg,Bloomsburg,F,PA
PA_college_m_Bloomsburg,Bloomsburg,M,PA
MS_college_f_Blue_Mountain,Blue Mountain,F,MS
MS_college_m_Blue_Mountain,Blue Mountain,M,MS
VA_college_f_Bluefield,Bluefield,F,VA
VA_college_m_Bluefield,Bluefield,M,VA
WV_college_f_Bluefield_St,Bluefield St.,F,WV
WV_college_m_Bluefield_St,Bluefield St.,M,WV
OH_college_f_Bluffton,Bluffton,F,OH
